SKILL_BRAWLER_E10_DESC	Aumenta l'Accumulo di stordimento del 10% <x1/> Aumenta la tua Probabilità di critico del 4%.
SKILL_BRAWLER_E10_NAME	Precisione
SKILL_BRAWLER_E16_DESC	Aumenta il tuo danno contro i nemici storditi dell'8%. <x1/> Aumenta di 2 la Furia massima che puoi accumulare.
SKILL_BRAWLER_E16_NAME	Fervore combattivo
SKILL_BRAWLER_E4_DESC	Aumenta il tuo Vigore massimo di 6. <x1/> Aumenta il tuo Danno contundente del 6%
SKILL_BRAWLER_E4_NAME	Possanza del Rissoso
SKILL_BRAWLER_EBL2R4_DESC	Quando uccidi un nemico con Danno contundente, ottieni il 20% di Danno fisico per 5 secondi.
SKILL_BRAWLER_EBL5R7_DESC	Quando stordisci un nemico, ottieni il 25% di Velocità d'attacco per 3 secondi.
SKILL_BRAWLER_EBR2R4_DESC	Quando stordisci un nemico, recuperi il 20% del tuo Vigore massimo.
SKILL_BRAWLER_EBR5R7_DESC	Quando infliggi un colpo critico a un nemico, ottieni il 20% di Velocità di movimento per 3 secondi.
SKILL_BRAWLER_ES1B10_DESC	Aumenta di 1 per punto la Furia ottenuta con Jab Infuriante.
SKILL_BRAWLER_ES1B10_NAME	Aumento Jab Infuriante II
SKILL_BRAWLER_ES1B11_DESC	Aumenta di 1 il numero massimo di colpi aggiuntivi.
SKILL_BRAWLER_ES1B11_NAME	Aumento Jab Furente II
SKILL_BRAWLER_ES1B12_DESC	Aumenta di 1 per punto la Furia ottenuta con Jab Infuriante.
SKILL_BRAWLER_ES1B12_NAME	Aumento Jab Infuriante III
SKILL_BRAWLER_ES1B13_DESC	Aumenta di 1 il numero massimo di colpi aggiuntivi.
SKILL_BRAWLER_ES1B13_NAME	Aumento Jab Furente III
SKILL_BRAWLER_ES1B1_DESC	Aumenta del 6% per punto il bonus al Danno fisico conferito da Jab rapido.
SKILL_BRAWLER_ES1B1_NAME	Aumento bonus fisico di Jab rapido I
SKILL_BRAWLER_ES1B2_DESC	Aumenta del 6% per punto il bonus al Danno fisico conferito da Jab rapido.
