NPC_BASILTON_GREETING_00036045-d3fc-4850-a6f4-c172bfa0d474	*Basilton è in piedi davanti alle aiuole devastate. La sua figura imponente avvolge le macerie in un silenzio pesante, come se il giardino stesso fosse ammutolito.*<x1/><x2/>"I miei… i miei amici."<x3/><x4/>*La voce gli si spezza, così piccola per un essere tanto grande.*<x5/><x6/>"La mia… casa."
NPC_BASILTON_GREETING_00d2ad44-6b8c-40f6-85c4-571c1787895a	*Basilton espira, ritrovando l'equilibrio dopo la prigionia imposta dalle driadi. Molti dei fiori sul suo corpo sono avvizziti e sfibrati.*<x1/><x2/>"Amico… giungi al momento giusto. Volevano piegarmi alla loro volontà, usarmi come un'arma."<x3/><x4/>*Preme le mani sulla terra, sentendo ciò che la percorre.*<x5/><x6/>"Mai, in tutti i miei anni, ho visto la gente della foresta ricorrere alla magia corrotta. Sono tempi oscuri e terribili."
NPC_BASILTON_GREETING_24aa2568-63a5-405d-bd58-71ac5a12f817	*Il corpo gigantesco di Basilton si muove lentamente mentre si volta verso di te. Si ferma a metà, come se cogliesse qualcosa di flebile nell'aria, poi si gira del tutto.*<x1/><x2/>"Bentornato, caro amico. Mi fa piacere vederti, anche se devo ammettere che il giardino ha conosciuto giorni migliori."<x3/><x4/>*Tende una mano verso la terra, fermandosi prima di toccarla.*<x5/><x6/>"Parlano ad Acorn e a me di una malattia, un veleno che serpeggia nel terreno."<x7/><x8/>*Il suo sguardo scorre attento sulle aiuole, come in attesa di una risposta.*<x9/><x10/>"Le rende inquiete, persino adirate, e poi sottrae loro le forze."
NPC_BASILTON_GREETING_401274f5-2cad-44a2-93dd-fd7bb40aa3f1	*Gli occhi luminosi di Basilton si accendono di sollievo al tuo avvicinarsi. Il velo lucido di fango sulla sua pelle si ritira, come se la tensione sprofondasse di nuovo nella terra.*<x1/><x2/>"Arrivi appena in tempo, caro amico."<x3/><x4/>*Volta lentamente il capo, in ascolto, poi scruta il giardino.*<x5/><x6/>"I goblin si fanno audaci. La corruzione mostra loro soltanto la debolezza altrui, e loro seguono quella brama."
NPC_BASILTON_GREETING_d26b876f-07e7-4436-b9d2-bac3e4f2daea	*Davanti a te si erge una figura imponente di pietra e terra fertile, ammantata di muschio e delicati fiori selvatici. Le radici la percorrono come vene nel legno antico. Un piccolo scoiattolo sta in equilibrio sulla sua spalla senza alcun timore. Lo sguardo del golem si posa su di te, paziente e senza fretta, mentre il capo si inclina con pacato stupore.*<x1/><x2/>"Acorn, guarda. Finalmente un volto nuovo. Ti trovi nel mio giardino, straniero. Sei il benvenuto. Vuoi concedere un istante a una piccola verità di foglie e vento?"
NPC_BASILTON_GREETING_dffgddf-d3fc-4850-a6f4-c172bfa0d474	"Acorn, il nostro nuovo amico è tornato. Bentornato."
NPC_BASILTON_GREETING_f7f9a65c-31b8-46b2-8ea1-87aff8f8d649	*Basilton è nel Santuario e si volta lentamente mentre parla con Acorn. I suoi occhi luminosi passano dalla pietra alla terra agli spazi aperti con mite curiosità.*<x1/><x2/>"Oh, Acorn. Una nuova casa. E per di più in alto. Mi domando che cosa pensino le radici di un luogo simile."<x3/><x4/>*Ti vede avvicinarti e si raddrizza, accogliente.*<x5/><x6/>"Ah, mio caro eroe. Mi fa piacere vederti. Grazie per averci condotti qui. Le ossa di questo luogo sono solide. Con le dovute cure, può diventare davvero accogliente."
NPC_BASILTON_PLAYER_0207462b-79a9-4539-8476-c07b66ebfce1_HEROIC	Somigliano più a strumenti che a compagni, anche se il confine è sottile.
NPC_BASILTON_PLAYER_0207462b-79a9-4539-8476-c07b66ebfce1_JOKER	Buffo, sembrano strumenti, ma la differenza con le persone è proprio poca cosa.
NPC_BASILTON_PLAYER_0207462b-79a9-4539-8476-c07b66ebfce1_SCHOLAR	Strumenti, più che persone. Benché le due categorie si confondano più di quanto ammettiamo.
NPC_BASILTON_PLAYER_0207462b-79a9-4539-8476-c07b66ebfce1_STOIC	Sembrano più strumenti che persone. Ma anche lì cambia poco.
NPC_BASILTON_PLAYER_042bfb34-b076-48b6-a063-ef86c57b5fce_BASE	Che cos'è il Raduno della Foresta?
NPC_BASILTON_PLAYER_0874c3ee-ac43-4f97-91c0-b66d875d6ba8_HEROIC	Sprechi troppe parole per un essere fatto di terra.
NPC_BASILTON_PLAYER_0874c3ee-ac43-4f97-91c0-b66d875d6ba8_JOKER	Quante chiacchiere per un mucchio di terra.
NPC_BASILTON_PLAYER_0874c3ee-ac43-4f97-91c0-b66d875d6ba8_SCHOLAR	Ti esprimi con eccessiva loquacità per un ammasso di terriccio.
NPC_BASILTON_PLAYER_0874c3ee-ac43-4f97-91c0-b66d875d6ba8_STOIC	Parli troppo per un mucchio di fango.
NPC_BASILTON_PLAYER_0cbe03e3-bdcd-4c40-a428-1d1f0069866a_HEROIC	Dobbiamo sterminarli finché resta una speranza.
NPC_BASILTON_PLAYER_0cbe03e3-bdcd-4c40-a428-1d1f0069866a_JOKER	Facciamo fuori i goblin prima che anche la speranza tolga il disturbo.
NPC_BASILTON_PLAYER_0cbe03e3-bdcd-4c40-a428-1d1f0069866a_SCHOLAR	I goblin vanno eliminati ora, finché le probabilità consentono di sperare.
NPC_BASILTON_PLAYER_0cbe03e3-bdcd-4c40-a428-1d1f0069866a_STOIC	Sterminiamo i goblin. Finché c'è speranza.
NPC_BASILTON_PLAYER_0f03c3e8-1fb8-4769-94b7-d4ad1c2fbe02_BASE	Perché non vai a prenderne al villaggio?
NPC_BASILTON_PLAYER_10d84df9-45f6-477f-9335-bb839f9cd0a7_HEROIC	È un luogo orribile, soprattutto sotto l'ombra degli elfi imperiali.
